PurchaseID,CustomerID,ProductID,ProductDescription,ProductCategory,PurchaseAmount,PurchaseDate
PU00071,C032,P51,Toaster,Kitchen & Appliances,112.1,2024-01-10
PU00072,C096,P19,Smartwatch,Tech & Electronics,304.51,2024-07-12
PU00073,C029,P119,Dollhouse,Toys & Games,25.64,2024-11-12
PU00074,C096,P87,Umbrella,Accessories & Lifestyle,118.4,2024-02-21
PU00076,C242,P53,Food Processor,Kitchen & Appliances,241.05,2024-11-12
PU00077,C104,P102,Self-Help Book,Books & Stationery,22.96,2024-09-26
PU00078,C389,P50,Cookware Set,Kitchen & Appliances,122.22,2024-03-12
PU00079,C134,P28,Home Security Camera,Tech & Electronics,424.17,2024-05-26
PU00080,C178,P30,Desktop Computer,Tech & Electronics,182.93,2024-08-30
PU00081,C097,P09,Swimwear,Clothing & Apparel,75.53,2024-04-27
PU00082,C131,P83,Luggage Set,Accessories & Lifestyle,130.61,2024-06-12
PU00083,C257,P18,Tablet,Tech & Electronics,93.19,2024-11-19
PU00084,C205,P48,Air Fryer,Kitchen & Appliances,253.4,2024-01-09
PU00085,C442,P79,Sunglasses,Accessories & Lifestyle,229.33,2024-02-12
PU00086,C234,P67,Exercise Bike,Fitness & Sports,186.08,2024-09-04
PU00088,C042,P82,Key Organizer,Accessories & Lifestyle,77.13,2024-01-20
PU00089,C064,P97,Planner,Books & Stationery,15.97,2024-09-11
PU00090,C384,P104,Art Book,Books & Stationery,34.29,2024-05-19
PU00091,C105,P68,Skipping Rope,Fitness & Sports,200.49,2024-10-25
PU00092,C029,P47,Microwave Oven,Kitchen & Appliances,102.18,2024-03-28
PU00095,C099,P18,Tablet,Tech & Electronics,134.0,2024-01-10
PU00096,C037,P14,Joggers,Clothing & Apparel,85.3,2024-10-01
PU00097,C162,P83,Luggage Set,Accessories & Lifestyle,111.52,2024-03-23
PU00098,C086,P99,History Book,Books & Stationery,43.61,2024-01-23
PU00099,C239,P93,Science Fiction Book,Books & Stationery,45.48,2024-11-03
PU00100,C369,P53,Food Processor,Kitchen & Appliances,227.16,2024-10-07
PU00102,C161,P18,Tablet,Tech & Electronics,91.48,2024-01-17
PU00103,C363,P24,Streaming Stick,Tech & Electronics,478.91,2024-11-18
PU00104,C276,P11,Athletic Socks,Clothing & Apparel,38.76,2024-12-25
PU00106,C470,P72,Cycling Shorts,Fitness & Sports,25.12,2024-02-01
PU00107,C384,P67,Exercise Bike,Fitness & Sports,149.96,2024-03-13
PU00108,C132,P84,Watch,Accessories & Lifestyle,98.53,2024-04-15
PU00109,C473,P30,Desktop Computer,Tech & Electronics,152.21,2024-12-04
PU00110,C488,P06,Running Shorts,Clothing & Apparel,59.29,2024-01-09
PU00111,C499,P08,Polo Shirt,Clothing & Apparel,27.37,2024-10-27
PU00112,C315,P61,Tennis Racket,Fitness & Sports,138.83,2024-07-08
PU00113,C258,P50,Cookware Set,Kitchen & Appliances,288.83,2024-06-15
PU00114,C289,P42,Storage Ottoman,Home & Furniture,65.23,2024-07-07
PU00115,C102,P35,Bedside Table,Home & Furniture,204.72,2024-01-28
PU00116,C006,P15,Summer Dress,Clothing & Apparel,63.78,2024-08-28
PU00117,C060,P48,Air Fryer,Kitchen & Appliances,261.05,2024-04-08
PU00120,C368,P59,Dish Rack,Kitchen & Appliances,225.24,2024-09-16
PU00121,C061,P80,Leather Belt,Accessories & Lifestyle,136.99,2024-03-31
PU00122,C097,P31,Office Chair,Home & Furniture,780.51,2024-05-22
PU00123,C068,P32,Standing Desk,Home & Furniture,966.13,2024-10-15
PU00125,C267,P35,Bedside Table,Home & Furniture,205.5,2024-10-09
PU00126,C200,P26,E-Reader,Tech & Electronics,857.4,2024-10-20
PU00127,C223,P42,Storage Ottoman,Home & Furniture,265.1,2024-02-20
PU00128,C376,P39,Patio Set,Home & Furniture,114.04,2024-04-27
PU00129,C157,P114,Play Kitchen Set,Toys & Games,6.38,2024-03-26
PU00130,C335,P79,Sunglasses,Accessories & Lifestyle,141.0,2024-04-10
PU00131,C114,P98,Children's Storybook,Books & Stationery,42.96,2024-12-26
PU00134,C160,P83,Luggage Set,Accessories & Lifestyle,138.18,2024-08-30
PU00135,C440,P24,Streaming Stick,Tech & Electronics,490.81,2024-11-02
PU00136,C082,P44,Bed Frame,Home & Furniture,394.15,2024-11-21
PU00137,C310,P44,Bed Frame,Home & Furniture,77.29,2024-01-24
PU00138,C120,P01,Men's T-Shirt,Clothing & Apparel,84.6,2024-11-01
PU00139,C043,P14,Joggers,Clothing & Apparel,114.57,2024-04-06
PU00140,C372,P09,Swimwear,Clothing & Apparel,108.72,2024-04-14
PU00141,C260,P103,Language Workbook,Books & Stationery,23.28,2024-11-16
PU00142,C128,P91,Novel,Books & Stationery,18.38,2024-02-16
PU00144,C292,P96,Sketchpad,Books & Stationery,37.57,2024-03-27
PU00146,C137,P43,Wall Shelf,Home & Furniture,390.05,2024-11-10
PU00147,C041,P35,Bedside Table,Home & Furniture,381.67,2024-10-17
PU00148,C380,P59,Dish Rack,Kitchen & Appliances,92.45,2024-09-13
PU00150,C198,P84,Watch,Accessories & Lifestyle,57.25,2024-03-23
PU00152,C009,P21,Bluetooth Speaker,Tech & Electronics,939.09,2024-11-02
PU00153,C128,P120,Toy Train Set,Toys & Games,22.18,2024-02-08
PU00154,C071,P17,Laptop,Tech & Electronics,228.09,2024-07-03
PU00156,C250,P50,Cookware Set,Kitchen & Appliances,531.13,2024-12-07
PU00157,C276,P68,Skipping Rope,Fitness & Sports,141.36,2024-12-21
PU00158,C386,P29,Portable Power Bank,Tech & Electronics,276.51,2024-05-15
PU00159,C392,P15,Summer Dress,Clothing & Apparel,112.0,2024-03-11
PU00161,C352,P05,Casual Sneakers,Clothing & Apparel,36.69,2024-04-14
PU00163,C239,P102,Self-Help Book,Books & Stationery,89.39,2024-08-01
PU00164,C360,P69,Hiking Boots,Fitness & Sports,209.94,2024-04-14
PU00165,C117,P71,Pull-Up Bar,Fitness & Sports,127.98,2024-09-22
PU00166,C350,P79,Sunglasses,Accessories & Lifestyle,66.81,2024-07-13
PU00168,C259,P17,Laptop,Tech & Electronics,366.49,2024-11-18
PU00169,C264,P51,Toaster,Kitchen & Appliances,41.15,2024-11-23
PU00170,C334,P50,Cookware Set,Kitchen & Appliances,179.58,2024-03-19
PU00171,C322,P103,Language Workbook,Books & Stationery,39.59,2024-05-13
PU00172,C007,P17,Laptop,Tech & Electronics,122.1,2024-08-26
PU00173,C484,P25,Digital Camera,Tech & Electronics,459.38,2024-06-21
PU00175,C140,P17,Laptop,Tech & Electronics,475.5,2024-12-20
PU00177,C463,P41,Wardrobe,Home & Furniture,102.95,2024-05-11
PU00179,C228,P43,Wall Shelf,Home & Furniture,176.69,2024-11-29
PU00181,C058,P21,Bluetooth Speaker,Tech & Electronics,53.51,2024-06-11
PU00183,C491,P17,Laptop,Tech & Electronics,491.87,2024-06-09
PU00185,C185,P03,Jeans,Clothing & Apparel,33.34,2024-04-09
PU00186,C337,P38,Recliner Chair,Home & Furniture,80.87,2024-11-13
PU00187,C460,P48,Air Fryer,Kitchen & Appliances,108.83,2024-06-20
PU00188,C256,P25,Digital Camera,Tech & Electronics,93.9,2024-01-02
PU00192,C347,P36,Sofa,Home & Furniture,94.99,2024-05-05
PU00193,C442,P76,Handbag,Accessories & Lifestyle,169.63,2024-08-12
PU00194,C314,P53,Food Processor,Kitchen & Appliances,115.49,2024-04-27
PU00195,C388,P114,Play Kitchen Set,Toys & Games,62.63,2024-11-27
PU00197,C266,P104,Art Book,Books & Stationery,41.37,2024-06-06
PU00198,C155,P69,Hiking Boots,Fitness & Sports,152.0,2024-09-10
PU00199,C293,P119,Dollhouse,Toys & Games,90.29,2024-10-25
PU00202,C484,P25,Digital Camera,Tech & Electronics,278.83,2024-02-24
PU00203,C158,P18,Tablet,Tech & Electronics,486.89,2024-03-01
PU00204,C390,P50,Cookware Set,Kitchen & Appliances,51.43,2024-06-19
PU00205,C305,P19,Smartwatch,Tech & Electronics,477.43,2024-03-01
PU00206,C370,P52,Espresso Machine,Kitchen & Appliances,55.86,2024-07-09
PU00207,C287,P35,Bedside Table,Home & Furniture,664.54,2024-10-23
PU00208,C142,P87,Umbrella,Accessories & Lifestyle,70.96,2024-12-11
PU00209,C486,P31,Office Chair,Home & Furniture,287.86,2024-02-02
PU00210,C083,P38,Recliner Chair,Home & Furniture,428.64,2024-11-02
PU00211,C179,P87,Umbrella,Accessories & Lifestyle,26.76,2024-10-07
PU00213,C150,P25,Digital Camera,Tech & Electronics,381.08,2024-08-26
PU00214,C159,P51,Toaster,Kitchen & Appliances,224.81,2024-02-01
PU00215,C181,P13,Raincoat,Clothing & Apparel,97.7,2024-04-19
PU00217,C421,P09,Swimwear,Clothing & Apparel,33.16,2024-01-28
PU00220,C107,P61,Tennis Racket,Fitness & Sports,161.24,2024-12-06
PU00221,C097,P72,Cycling Shorts,Fitness & Sports,511.11,2024-04-10
PU00222,C093,P33,Bookshelf,Home & Furniture,177.58,2024-03-15
PU00224,C246,P120,Toy Train Set,Toys & Games,20.77,2024-02-07
PU00225,C100,P87,Umbrella,Accessories & Lifestyle,112.09,2024-11-06
PU00226,C471,P14,Joggers,Clothing & Apparel,20.19,2024-12-25
PU00227,C171,P41,Wardrobe,Home & Furniture,53.98,2024-09-23
PU00229,C081,P03,Jeans,Clothing & Apparel,89.72,2024-07-01
PU00230,C021,P24,Streaming Stick,Tech & Electronics,67.52,2024-11-10
PU00231,C395,P31,Office Chair,Home & Furniture,442.81,2024-09-28
PU00232,C374,P68,Skipping Rope,Fitness & Sports,115.59,2024-12-01
PU00234,C381,P84,Watch,Accessories & Lifestyle,105.82,2024-08-10
PU00235,C149,P37,Coffee Table,Home & Furniture,396.26,2024-12-18
PU00236,C025,P05,Casual Sneakers,Clothing & Apparel,100.07,2024-05-11
PU00237,C415,P69,Hiking Boots,Fitness & Sports,279.57,2024-12-21
PU00238,C498,P17,Laptop,Tech & Electronics,202.22,2024-02-25
PU00239,C325,P19,Smartwatch,Tech & Electronics,321.86,2024-11-10
PU00240,C164,P87,Umbrella,Accessories & Lifestyle,24.13,2024-11-01
PU00241,C483,P53,Food Processor,Kitchen & Appliances,195.73,2024-11-18
PU00244,C388,P30,Desktop Computer,Tech & Electronics,187.83,2024-12-20
PU00245,C441,P29,Portable Power Bank,Tech & Electronics,117.96,2024-09-20
PU00248,C270,P93,Science Fiction Book,Books & Stationery,98.68,2024-02-24
PU00249,C134,P104,Art Book,Books & Stationery,37.17,2024-11-01
PU00250,C042,P114,Play Kitchen Set,Toys & Games,77.95,2024-04-16
PU00251,C056,P96,Sketchpad,Books & Stationery,23.37,2024-01-02
PU00252,C011,P09,Swimwear,Clothing & Apparel,72.96,2024-12-12
PU00253,C103,P71,Pull-Up Bar,Fitness & Sports,60.46,2024-07-04
PU00254,C204,P32,Standing Desk,Home & Furniture,853.59,2024-04-10
PU00255,C472,P67,Exercise Bike,Fitness & Sports,514.37,2024-10-08
PU00257,C089,P18,Tablet,Tech & Electronics,253.32,2024-12-12
PU00258,C217,P50,Cookware Set,Kitchen & Appliances,286.23,2024-07-08
PU00259,C419,P87,Umbrella,Accessories & Lifestyle,133.59,2024-05-23
PU00260,C009,P84,Watch,Accessories & Lifestyle,85.6,2024-12-29
PU00262,C234,P98,Children's Storybook,Books & Stationery,44.76,2024-11-06
PU00263,C057,P93,Science Fiction Book,Books & Stationery,30.45,2024-07-02
PU00265,C067,P13,Raincoat,Clothing & Apparel,102.36,2024-11-03
PU00267,C466,P15,Summer Dress,Clothing & Apparel,58.66,2024-02-06
PU00268,C253,P36,Sofa,Home & Furniture,407.44,2024-11-14
PU00269,C435,P06,Running Shorts,Clothing & Apparel,114.09,2024-11-18
PU00270,C380,P110,Stuffed Animal,Toys & Games,60.79,2024-04-26
PU00271,C165,P35,Bedside Table,Home & Furniture,268.08,2024-09-05
PU00272,C419,P05,Casual Sneakers,Clothing & Apparel,98.07,2024-01-14
PU00273,C400,P116,Card Game,Toys & Games,20.86,2024-02-13
PU00274,C280,P90,Smart Key Finder,Accessories & Lifestyle,47.63,2024-01-15
PU00275,C073,P120,Toy Train Set,Toys & Games,24.59,2024-11-27
PU00277,C422,P110,Stuffed Animal,Toys & Games,21.24,2024-01-15
PU00278,C283,P90,Smart Key Finder,Accessories & Lifestyle,30.5,2024-11-12
PU00280,C158,P21,Bluetooth Speaker,Tech & Electronics,267.23,2024-12-04
PU00281,C100,P104,Art Book,Books & Stationery,40.75,2024-04-13
PU00282,C322,P61,Tennis Racket,Fitness & Sports,114.02,2024-02-03
PU00283,C261,P78,Wallet,Accessories & Lifestyle,125.51,2024-06-24
PU00284,C372,P69,Hiking Boots,Fitness & Sports,40.28,2024-07-02
PU00287,C423,P17,Laptop,Tech & Electronics,404.46,2024-02-11
PU00288,C277,P66,Boxing Gloves,Fitness & Sports,71.46,2024-04-04
PU00289,C236,P15,Summer Dress,Clothing & Apparel,23.16,2024-04-12
PU00290,C468,P120,Toy Train Set,Toys & Games,43.94,2024-05-20
PU00291,C353,P21,Bluetooth Speaker,Tech & Electronics,380.02,2024-07-10
PU00292,C116,P86,Phone Case,Accessories & Lifestyle,120.69,2024-09-22
PU00296,C084,P06,Running Shorts,Clothing & Apparel,102.48,2024-11-16
PU00297,C016,P72,Cycling Shorts,Fitness & Sports,229.67,2024-02-13
PU00299,C395,P09,Swimwear,Clothing & Apparel,31.94,2024-11-15
PU00302,C081,P32,Standing Desk,Home & Furniture,155.96,2024-02-27
PU00303,C283,P87,Umbrella,Accessories & Lifestyle,89.66,2024-10-04
PU00304,C236,P43,Wall Shelf,Home & Furniture,50.59,2024-07-06
PU00305,C071,P49,Electric Kettle,Kitchen & Appliances,281.64,2024-07-14
PU00306,C091,P48,Air Fryer,Kitchen & Appliances,254.61,2024-08-14
PU00307,C392,P59,Dish Rack,Kitchen & Appliances,47.18,2024-09-11
PU00309,C008,P29,Portable Power Bank,Tech & Electronics,443.47,2024-07-08
PU00314,C398,P66,Boxing Gloves,Fitness & Sports,272.59,2024-12-10
PU00315,C258,P61,Tennis Racket,Fitness & Sports,81.12,2024-05-06
PU00316,C282,P100,Comic Book,Books & Stationery,40.88,2024-05-06
PU00317,C072,P48,Air Fryer,Kitchen & Appliances,64.85,2024-11-16
PU00318,C256,P83,Luggage Set,Accessories & Lifestyle,18.3,2024-01-13
PU00319,C289,P67,Exercise Bike,Fitness & Sports,196.56,2024-07-20
PU00320,C031,P26,E-Reader,Tech & Electronics,155.32,2024-03-04
PU00321,C424,P114,Play Kitchen Set,Toys & Games,36.91,2024-04-01
PU00323,C048,P26,E-Reader,Tech & Electronics,82.86,2024-04-04
PU00325,C293,P36,Sofa,Home & Furniture,351.99,2024-12-11
PU00326,C422,P41,Wardrobe,Home & Furniture,156.18,2024-06-25
PU00327,C141,P35,Bedside Table,Home & Furniture,300.07,2024-11-24
PU00328,C268,P48,Air Fryer,Kitchen & Appliances,406.58,2024-04-18
PU00329,C109,P78,Wallet,Accessories & Lifestyle,148.22,2024-03-04
PU00330,C413,P26,E-Reader,Tech & Electronics,231.59,2024-07-11
PU00331,C106,P39,Patio Set,Home & Furniture,150.58,2024-11-23
PU00332,C239,P71,Pull-Up Bar,Fitness & Sports,383.3,2024-11-18
PU00333,C156,P61,Tennis Racket,Fitness & Sports,260.15,2024-10-28
PU00334,C286,P29,Portable Power Bank,Tech & Electronics,127.65,2024-05-20
PU00335,C146,P13,Raincoat,Clothing & Apparel,106.05,2024-02-27
PU00337,C367,P15,Summer Dress,Clothing & Apparel,47.58,2024-05-10
PU00338,C321,P24,Streaming Stick,Tech & Electronics,488.69,2024-04-05
PU00339,C042,P86,Phone Case,Accessories & Lifestyle,53.79,2024-05-05
PU00340,C018,P80,Leather Belt,Accessories & Lifestyle,32.94,2024-12-28
PU00341,C393,P54,Rice Cooker,Kitchen & Appliances,48.56,2024-01-29
PU00342,C084,P35,Bedside Table,Home & Furniture,64.22,2024-10-23
PU00344,C132,P53,Food Processor,Kitchen & Appliances,138.46,2024-01-15
PU00345,C466,P15,Summer Dress,Clothing & Apparel,92.58,2024-02-14
PU00347,C254,P32,Standing Desk,Home & Furniture,476.21,2024-01-27
PU00349,C319,P78,Wallet,Accessories & Lifestyle,10.24,2024-11-19
PU00350,C284,P90,Smart Key Finder,Accessories & Lifestyle,43.92,2024-12-21
PU00351,C116,P28,Home Security Camera,Tech & Electronics,241.64,2024-04-03
PU00352,C213,P93,Science Fiction Book,Books & Stationery,15.44,2024-04-08
PU00353,C412,P82,Key Organizer,Accessories & Lifestyle,43.48,2024-11-25
PU00355,C003,P79,Sunglasses,Accessories & Lifestyle,47.71,2024-02-11
PU00356,C264,P27,VR Headset,Tech & Electronics,458.67,2024-12-15
PU00358,C415,P83,Luggage Set,Accessories & Lifestyle,36.92,2024-08-28
PU00361,C393,P47,Microwave Oven,Kitchen & Appliances,102.28,2024-05-20
PU00362,C029,P50,Cookware Set,Kitchen & Appliances,161.65,2024-10-14
PU00363,C022,P23,4K TV,Tech & Electronics,231.29,2024-08-05
PU00364,C326,P13,Raincoat,Clothing & Apparel,110.87,2024-07-05
PU00365,C142,P93,Science Fiction Book,Books & Stationery,13.11,2024-03-27
PU00366,C225,P102,Self-Help Book,Books & Stationery,82.03,2024-07-31
PU00367,C085,P25,Digital Camera,Tech & Electronics,73.05,2024-12-16
PU00368,C118,P55,Ice Cream Maker,Kitchen & Appliances,244.58,2024-04-02
PU00369,C131,P32,Standing Desk,Home & Furniture,464.18,2024-01-16
PU00370,C150,P18,Tablet,Tech & Electronics,417.31,2024-06-01
PU00371,C392,P53,Food Processor,Kitchen & Appliances,259.53,2024-11-02
PU00372,C223,P38,Recliner Chair,Home & Furniture,363.72,2024-01-22
PU00374,C157,P29,Portable Power Bank,Tech & Electronics,62.09,2024-09-02
PU00377,C047,P27,VR Headset,Tech & Electronics,333.12,2024-11-04
PU00378,C412,P01,Men's T-Shirt,Clothing & Apparel,49.07,2024-08-25
PU00379,C468,P91,Novel,Books & Stationery,32.2,2024-10-29
PU00380,C198,P36,Sofa,Home & Furniture,246.72,2024-03-29
PU00382,C333,P41,Wardrobe,Home & Furniture,125.93,2024-07-06
PU00385,C019,P108,Building Blocks,Toys & Games,64.69,2024-05-23
PU00386,C447,P80,Leather Belt,Accessories & Lifestyle,215.58,2024-04-07
PU00387,C211,P43,Wall Shelf,Home & Furniture,222.53,2024-11-11
PU00388,C093,P78,Wallet,Accessories & Lifestyle,34.88,2024-05-05
PU00389,C388,P79,Sunglasses,Accessories & Lifestyle,26.29,2024-04-19
PU00390,C250,P38,Recliner Chair,Home & Furniture,348.29,2024-10-09
PU00391,C363,P30,Desktop Computer,Tech & Electronics,395.02,2024-12-09
PU00392,C172,P06,Running Shorts,Clothing & Apparel,46.25,2024-05-16
PU00393,C009,P67,Exercise Bike,Fitness & Sports,274.8,2024-04-11
PU00395,C202,P26,E-Reader,Tech & Electronics,211.76,2024-10-19
PU00396,C395,P09,Swimwear,Clothing & Apparel,25.41,2024-07-11
PU00397,C415,P19,Smartwatch,Tech & Electronics,310.42,2024-10-08
PU00398,C151,P116,Card Game,Toys & Games,8.86,2024-11-06
PU00401,C187,P90,Smart Key Finder,Accessories & Lifestyle,86.58,2024-03-03
PU00403,C144,P35,Bedside Table,Home & Furniture,198.24,2024-12-06
PU00404,C071,P05,Casual Sneakers,Clothing & Apparel,116.09,2024-03-03
PU00405,C017,P03,Jeans,Clothing & Apparel,60.88,2024-08-31
PU00406,C137,P01,Men's T-Shirt,Clothing & Apparel,30.81,2024-02-25
PU00407,C198,P26,E-Reader,Tech & Electronics,241.02,2024-12-17
PU00408,C221,P93,Science Fiction Book,Books & Stationery,31.04,2024-04-27
PU00410,C494,P110,Stuffed Animal,Toys & Games,50.79,2024-05-05
PU00411,C180,P37,Coffee Table,Home & Furniture,540.97,2024-10-02
PU00412,C369,P79,Sunglasses,Accessories & Lifestyle,122.67,2024-04-17
PU00413,C343,P80,Leather Belt,Accessories & Lifestyle,145.9,2024-04-07
PU00415,C067,P18,Tablet,Tech & Electronics,140.51,2024-09-02
PU00416,C453,P71,Pull-Up Bar,Fitness & Sports,149.33,2024-03-01
PU00417,C321,P66,Boxing Gloves,Fitness & Sports,237.08,2024-05-26
PU00419,C278,P26,E-Reader,Tech & Electronics,83.21,2024-10-18
PU00423,C301,P78,Wallet,Accessories & Lifestyle,107.84,2024-10-27
PU00424,C250,P32,Standing Desk,Home & Furniture,567.66,2024-05-14
PU00425,C110,P72,Cycling Shorts,Fitness & Sports,269.36,2024-12-24
PU00427,C037,P37,Coffee Table,Home & Furniture,251.31,2024-06-11
PU00428,C134,P49,Electric Kettle,Kitchen & Appliances,299.77,2024-11-22
PU00429,C151,P91,Novel,Books & Stationery,11.93,2024-09-22
PU00430,C211,P11,Athletic Socks,Clothing & Apparel,93.65,2024-11-23
PU00432,C487,P33,Bookshelf,Home & Furniture,166.16,2024-01-18
PU00435,C224,P32,Standing Desk,Home & Furniture,471.56,2024-02-28
PU00436,C431,P72,Cycling Shorts,Fitness & Sports,105.73,2024-12-19
PU00438,C487,P43,Wall Shelf,Home & Furniture,469.58,2024-02-27
PU00439,C225,P94,Travel Guide,Books & Stationery,28.26,2024-09-24
PU00440,C424,P102,Self-Help Book,Books & Stationery,34.72,2024-12-06
PU00443,C293,P100,Comic Book,Books & Stationery,47.21,2024-09-15
PU00444,C161,P23,4K TV,Tech & Electronics,120.07,2024-02-27
PU00446,C136,P48,Air Fryer,Kitchen & Appliances,257.28,2024-08-30
PU00447,C108,P78,Wallet,Accessories & Lifestyle,115.94,2024-10-23
PU00449,C084,P32,Standing Desk,Home & Furniture,147.53,2024-02-05
PU00451,C436,P27,VR Headset,Tech & Electronics,262.36,2024-12-20
PU00452,C038,P53,Food Processor,Kitchen & Appliances,67.44,2024-09-18
PU00453,C076,P24,Streaming Stick,Tech & Electronics,451.35,2024-09-04
PU00454,C436,P59,Dish Rack,Kitchen & Appliances,223.41,2024-12-13
PU00455,C342,P98,Children's Storybook,Books & Stationery,40.81,2024-04-07
PU00458,C289,P78,Wallet,Accessories & Lifestyle,147.85,2024-02-27
PU00459,C207,P32,Standing Desk,Home & Furniture,113.33,2024-07-15
PU00460,C472,P67,Exercise Bike,Fitness & Sports,455.41,2024-04-14
PU00461,C066,P19,Smartwatch,Tech & Electronics,223.6,2024-03-08
PU00462,C034,P13,Raincoat,Clothing & Apparel,96.52,2024-12-03
PU00463,C400,P17,Laptop,Tech & Electronics,577.0,2024-03-17
PU00466,C479,P108,Building Blocks,Toys & Games,90.95,2024-08-11
PU00468,C434,P119,Dollhouse,Toys & Games,48.28,2024-12-09
PU00469,C427,P98,Children's Storybook,Books & Stationery,29.43,2024-05-12
PU00470,C105,P91,Novel,Books & Stationery,32.32,2024-12-30
PU00471,C179,P47,Microwave Oven,Kitchen & Appliances,262.19,2024-09-20
PU00473,C169,P86,Phone Case,Accessories & Lifestyle,14.36,2024-04-19
PU00474,C138,P110,Stuffed Animal,Toys & Games,14.25,2024-12-21
PU00475,C358,P14,Joggers,Clothing & Apparel,40.25,2024-04-05
PU00476,C484,P78,Wallet,Accessories & Lifestyle,49.11,2024-12-14
PU00477,C169,P53,Food Processor,Kitchen & Appliances,251.52,2024-10-07
PU00478,C239,P94,Travel Guide,Books & Stationery,90.09,2024-03-19
PU00481,C195,P82,Key Organizer,Accessories & Lifestyle,26.34,2024-12-17
PU00484,C401,P116,Card Game,Toys & Games,69.57,2024-02-18
PU00485,C376,P86,Phone Case,Accessories & Lifestyle,75.23,2024-11-14
PU00489,C362,P05,Casual Sneakers,Clothing & Apparel,97.74,2024-05-28
